MMS Id,Network Number,Bibliographic Lifecycle,Collection Name,Suppressed From Discovery,Num Digital Representations  (In Repository),Title
991011506418804641,grinnell:10001,In Repository,Syllabi and Curricular Materials,No,8,Data Repository for Reproducible Research
991011506418904641,grinnell:10002,In Repository,Syllabi and Curricular Materials,No,22,Research Methods for Empirical Computer Science
991011506419004641,grinnell:54,In Repository,Syllabi and Curricular Materials,No,1,The Social Politics of Having Children
991011506419104641,grinnell:5185,In Repository,Syllabi and Curricular Materials,No,1,Summary of Online Experiments and Pilots
991011506419204641,grinnell:3482,In Repository,Life at Grinnell College,No,1,Stephen R. Carl (Class of 1971) in biology lab
991011506419304641,grinnell:3463,In Repository,Syllabi and Curricular Materials,No,1,"We Are What We Eat: Food, Culture, and Identity in Literature and Film"
991011506419404641,grinnell:3462,In Repository,Syllabi and Curricular Materials,No,1,Tutorial summary sheet 2010-2011
991011506419504641,grinnell:3461,In Repository,Syllabi and Curricular Materials,No,1,"Stories, Story-Tellers, and Audiences: Geoffrey Chaucer's Canterbury Tales and Marguerite of Navarre's Heptameron"
991011506419604641,grinnell:3460,In Repository,Syllabi and Curricular Materials,No,1,Soundtracks and Scores
991011506419704641,grinnell:3459,In Repository,Syllabi and Curricular Materials,No,1,Russia in Revolution
991011506419804641,grinnell:3458,In Repository,Syllabi and Curricular Materials,No,1,Renaissance
991011506419904641,grinnell:3457,In Repository,Syllabi and Curricular Materials,No,1,Painting Modernity
991011506420004641,grinnell:3456,In Repository,Syllabi and Curricular Materials,No,1,Outward from the Middle of the Maze: Selected Plays of Tom Stoppard
991011506420104641,grinnell:3455,In Repository,Syllabi and Curricular Materials,No,1,Narrative and Identity
991011506420204641,grinnell:3454,In Repository,Syllabi and Curricular Materials,No,1,Myth of the Middle Class
991011506420304641,grinnell:3453,In Repository,Syllabi and Curricular Materials,No,1,Musicians in Fiction
991011506420404641,grinnell:3452,In Repository,Syllabi and Curricular Materials,No,1,"Places I've Been: Outsiders, Exiles, Tourists"
991011506420504641,grinnell:3449,In Repository,Syllabi and Curricular Materials,No,1,Living an authentic life
991011506420604641,grinnell:3448,In Repository,Syllabi and Curricular Materials,No,1,Images of Africa
991011506420704641,grinnell:3447,In Repository,Syllabi and Curricular Materials,No,1,Ideas of Love in Western Culture
991011506420804641,grinnell:3446,In Repository,Syllabi and Curricular Materials,No,1,Humanities I : The Ancient Greek World
991011506420904641,grinnell:3445,In Repository,Syllabi and Curricular Materials,No,1,Humanities 101 : The Ancient World
991011506421004641,grinnell:3444,In Repository,Syllabi and Curricular Materials,No,1,The Hero's Journey
991011506421104641,grinnell:3443,In Repository,Syllabi and Curricular Materials,No,1,Freedom [002]
991011506421204641,grinnell:3442,In Repository,Syllabi and Curricular Materials,No,1,Freedom [001]
991011506421304641,grinnell:3441,In Repository,Syllabi and Curricular Materials,No,1,Frankenstein's Monsters: the Creation of Horror & the Horror of Creation
991011506421404641,grinnell:3440,In Repository,Syllabi and Curricular Materials,No,1,Emotion and Cognition
991011506421504641,grinnell:3439,In Repository,Syllabi and Curricular Materials,No,1,Doing History: the Pullman Strike
991011506421604641,grinnell:3438,In Repository,Syllabi and Curricular Materials,No,1,Dis/Connected
991011506421704641,grinnell:3436,In Repository,Syllabi and Curricular Materials,No,1,Detectives and Their Fictions
991011506421804641,grinnell:3435,In Repository,Syllabi and Curricular Materials,No,1,Degradation and Development in Tropical Forests
